theta	n_removed_heuristic	n_removed_optimal	n_components	max_component_size	n_retained_heuristic	n_retained_optimal
0.0100	216	216	1	226	10	10
0.0200	213	213	1	226	13	13
0.0300	204	204	1	226	22	22
0.0400	202	202	1	226	24	24
0.0500	199	199	1	226	27	27
0.0600	195	195	1	226	31	31
0.0700	193	193	1	226	33	33
0.0800	190	190	1	226	36	36
0.0900	189	189	2	221	37	37
0.1000	183	183	2	221	43	43
0.1100	177	177	2	221	49	49
0.1200	172	172	3	218	54	54
0.1300	164	164	9	194	62	62
0.1400	155	155	16	151	71	71
0.1500	154	154	24	89	72	72
0.1600	148	148	34	44	78	78
0.1700	145	145	40	33	81	81
0.1800	142	142	48	16	84	84
0.1900	137	137	50	12	89	89
0.2000	127	127	51	11	99	99
0.2100	123	123	49	11	103	103
0.2200	111	111	48	11	115	115
0.2300	102	101	48	11	124	125
0.2400	85	84	44	10	141	142
0.2500	69	69	40	10	157	157
0.2600	56	55	36	10	170	171
0.2700	41	41	31	9	185	185
0.2800	27	26	21	6	199	200
0.2900	13	13	12	3	213	213
0.3000	10	10	9	3	216	216
0.3100	6	6	6	2	220	220
0.3200	3	3	3	2	223	223
0.3300	3	3	3	2	223	223
0.3400	3	3	3	2	223	223
0.3500	3	3	3	2	223	223
0.3600	3	3	3	2	223	223
0.3700	3	3	3	2	223	223
0.3800	3	3	3	2	223	223
0.3900	2	2	2	2	224	224
0.4000	2	2	2	2	224	224
0.4100	2	2	2	2	224	224
0.4200	2	2	2	2	224	224
0.4300	2	2	2	2	224	224
0.4400	2	2	2	2	224	224
0.4500	2	2	2	2	224	224
0.4600	2	2	2	2	224	224
0.4700	2	2	2	2	224	224
0.4800	2	2	2	2	224	224
0.4900	2	2	2	2	224	224
